,Date,underlyingPrice,alphas,betas,longRun,estimatedVolatility
0,2024-02-05,186.1043701171875,0.09401418222097677,0.8579664408883638,0.01839214621995911,0.23438811697812023
1,2024-02-06,187.7108001708984,0.09530714930255942,0.8545959167899717,0.018353312336164947,0.2303799652026313
2,2024-02-07,187.8198394775391,0.09611500338822004,0.8527039995501858,0.018310605152488002,0.22259647378944522
3,2024-02-08,186.739013671875,0.08668232215515231,0.8800259995456924,0.018468587650473687,0.21332184560654643
4,2024-02-09,187.5035247802734,0.0870052035101847,0.8797836997888321,0.018436182017818194,0.20760324497055518
5,2024-02-12,185.8156433105469,0.0757430229825524,0.9007870381174525,0.01834604598771759,0.20386897608545365
6,2024-02-13,183.7206420898438,0.07055794626069446,0.9085390636730316,0.018192241552011934,0.20400372855684934
7,2024-02-14,182.8369903564453,0.07239118657522274,0.906145354833163,0.018216144195880916,0.19960067090203407
8,2024-02-15,182.549072265625,0.06745446000316686,0.9136011339435707,0.017991516358500548,0.19396535317308886
9,2024-02-16,181.0101318359375,0.0691719377654227,0.9113819365771736,0.018039923405892746,0.19246151145868523
10,2024-02-20,180.2654876708984,0.06611182045720362,0.9159479735353415,0.017856909945531248,0.18813518022620154
11,2024-02-21,181.0200805664062,0.06709538577693609,0.9148815871458776,0.017861702589909607,0.18424829282178146
12,2024-02-22,183.0554656982422,0.06569427247948441,0.9168162930335825,0.01778237902889937,0.1859015606653952
13,2024-02-23,181.2186584472656,0.06153984924421062,0.9224763518872432,0.01752371572765742,0.18582671053788327
14,2024-02-26,179.8683319091797,0.06111284489966954,0.9231788416445815,0.017463717846322665,0.18390030063896007
15,2024-02-27,181.3278656005859,0.06147926192238361,0.9228514095633809,0.017461254506547903,0.18255639700684126
16,2024-02-28,180.1264953613281,0.06291632350841826,0.9212121951950625,0.017529310964485536,0.18035986457774839
17,2024-02-29,179.4612731933594,0.06348749773941752,0.9207565305361074,0.017525902949642343,0.17667262248360438
18,2024-03-01,178.3790435791016,0.0623951873935668,0.9223872687347883,0.017395661608022917,0.1741127143192731
19,2024-03-04,173.8515472412109,0.062153882626685725,0.9211696222066854,0.017607624563674554,0.20162812911338507
